 osman/terraform , ✅(4s) 
 osman/mirrord , ✅(9s) 
 osman/proot , - 
 osman/cfssl , ✅(2s) 
 osman/ffuf , ✅(2s) 
 osman/etcd , ✅(5s) 
 osman/easyrsa , ✅(2s) 
 osman/pm2 , ❌(smoke) 
 security/osquery , ✅(6s) 
 security/skate , ✅(4s) 
 security/sodium , ✅(1s) 
 security/smartctl , ✅(2s) 
 security/openssl , ✅(2s) 
 security/lynis , ✅(1s) 
 sdkman/activemq , ✅(24s) 
 sdkman/ant , ✅(7s) 
 sdkman/quarkus , ✅(10s) 
 sdkman/karaf , ✅(17s) 
 sdkman/kscript , ❌(env_try) 
 sdkman/btrace , ✅(6s) 
 sdkman/connor , ✅(8s) 
 sdkman/neo4j_migrations , ❌(env_try) 
 sdkman/flink , ✅(112s) 
 sdkman/maven , ✅(6s) 
 sdkman/ktx , ❌(env_try) 
 sdkman/layrry , ✅(6s) 
 sdkman/kobweb , ✅(6s) 
 sdkman/grails , ✅(44s) 
 sdkman/jmeter , ✅(29s) 
 sdkman/mybatis_migrations , ✅(5s) 
 sdkman/schemacrawler , ❌(env_try) 
 sdkman/znai , - 
 sdkman/gradle , ✅(38s) 
 sdkman/mulefd , ✅(9s) 
 sdkman/webtau , - 
 sdkman/pomchecker , ✅(6s) 
 sdkman/jbake , ✅(21s) 
 sdkman/jreleaser , - 
 sdkman/hadoop , ❌(env_try) 
 sdkman/ki , ✅(18s) 
 sdkman/micronaut , ❌(env_try) 
 sdkman/skeletal , ✅(10s) 
 sdkman/gaiden , - 
 sdkman/sbt , ✅(13s) 
 sdkman/bpipe , ✅(15s) 
 sdkman/doctoolchain , ❌(env_try) 
 sdkman/mvnd , ✅(10s) 
 sdkman/visualvm , ❌(smoke) 
 sdkman/cxf , ✅(23s) 
 sdkman/scala_cli , ✅(131s) 
 sdkman/coursier , ✅(73s) 
 sdkman/concurnas , - 
 sdkman/ballerina , ❌(env_try) 
 sdkman/pierrot , - 
 sdkman/toolkit , ❌(env_try) 
 sdkman/spark , ❌(env_try) 
 sdkman/mcs , ❌(env_try) 
 sdkman/infrastructor , ❌(env_try) 
 sdkman/groovyserv , ❌(env_try) 
 shell/bash-preexec , ❌(env_try) 
 shell/usql , ✅(14s) 
 shell/exa , ✅(0s) 
 shell/hyperfine , ✅(3s) 
 shell/procs , ✅(1s) 
 shell/busybox , - 
 shell/bat , ✅(1s) 
 shell/zsh , ✅(2s) 
 network/mosquitto , ✅(4s) 
 network/termshark , ✅(2s) 
 network/ncat , ✅(2s) 
 network/doggo , ✅(2s) 
 network/gost , ✅(3s) 
 network/aria2 , ✅(3s) 
 network/nping , ✅(1s) 
 network/curl , ❌(install_path) 
 network/frp , ✅(3s) 
 network/websocat , - 
 network/youtube-dl , ✅(978s) 
 network/httpie , ✅(10s) 
 network/bandwhich , ✅(3s) 
 network/traceroute , - 
 network/socat , ✅(1s) 
 network/ttyd , - 
 network/nmap , ✅(3s) 
 network/tget , ❌(smoke) 
 network/hurl , ✅(2s) 
