 reader/haxor-news , ✅(15s) 
 reader/epr , ✅(13s) 
 reader/glow , ✅(2s) 
 osman/nerdctl , - 
 osman/tunasync , - 
 osman/mirrord , ✅(4s) 
 osman/dry , ✅(2s) 
 osman/ismc , ❌(smoke) 
 osman/proot , - 
 osman/nfpm , ✅(2s) 
 osman/hugo , ✅(4s) 
 osman/zola , ✅(2s) 
 osman/iamlive , ✅(3s) 
 osman/cfssl , ✅(3s) 
 osman/viddy , ✅(3s) 
 osman/obs , ✅(1s) 
 osman/fkill-cli , ✅(12s) 
 osman/procs , ✅(2s) 
 osman/bpytop , ✅(3s) 
 osman/etcd , ✅(4s) 
 osman/easyrsa , ✅(1s) 
 osman/macchina , - 
 osman/gotop , ✅(2s) 
 osman/bottom , ✅(1s) 
 osman/hostctl , ✅(2s) 
 osman/glances , ✅(3s) 
 osman/gopass , ✅(3s) 
 osman/pm2 , ✅(6s) 
 lint/oxlint , ✅(3s) 
 lint/hadolint , ❌(env_try) 
 virtualization/lima , ✅(5s) 
 test/hey , - 
 test/locust , ✅(6s) 
 test/goss , ✅(2s) 
 test/loadtest , ✅(2s) 
 test/oha , ✅(2s) 
 test/py-spy , ✅(12s) 
 version-manager/goreleaser , ✅(3s) 
 version-manager/semantic-release , ✅(9s) 
 python/pipx , ✅(3s) 
 python/invoke , ✅(2s) 
 python/cookiecutter , ✅(5s) 
 python/doit , ✅(3s) 
 python/pypy , ✅(8s) 
 python/cruft , ✅(5s) 
 python/marimo , ✅(7s) 
 python/bowler , ✅(3s) 
 python/copier , ❌(smoke) 
 python/pywal , ✅(3s) 
 python/rebound-cli , ✅(3s) 
 python/kanban-python , ✅(4s) 
 python/miniconda , ✅(0s) 
 security/tfsec , ✅(4s) 
 security/osv-scanner , ✅(2s) 
 security/osquery , ❌(env_try) 
 security/stegcloak , ✅(4s) 
 security/pip-audit , ✅(4s) 
 security/certbot , ✅(5s) 
 security/dnstwist , ✅(2s) 
 security/zoomeye , ✅(4s) 
 security/skate , ✅(2s) 
 security/snyk , ✅(5s) 
 security/age , ✅(2s) 
 security/mc , ✅(3s) 
 security/sodium , ❌(smoke) 
 security/smartctl , ✅(2s) 
 security/openssl , ✅(2s) 
 security/lynis , ❌(env_try) 
