 osman/nerdctl , - 
 osman/tunasync , - 
 osman/mirrord , ✅(4s) 
 osman/dry , ✅(3s) 
 osman/proot , - 
 osman/bed , ✅(2s) 
 osman/nfpm , ✅(1s) 
 osman/hugo , ✅(4s) 
 osman/git-chglog , ✅(2s) 
 osman/zola , ✅(2s) 
 osman/iamlive , ✅(2s) 
 osman/cfssl , ✅(2s) 
 osman/asciigraph , ✅(1s) 
 osman/obs , ✅(2s) 
 osman/fkill-cli , ✅(13s) 
 osman/etcd , ✅(4s) 
 osman/easyrsa , ✅(2s) 
 osman/chezmoi , ✅(2s) 
 osman/gopass , ✅(2s) 
 osman/pm2 , ✅(13s) 
 lint/oxlint , ✅(3s) 
 lint/shellcheck , ✅(6s) 
 virtualization/lima , ❌(env_try) 
 test/hey , ❌(smoke) 
 test/goss , ✅(2s) 
 test/loadtest , ✅(4s) 
 test/oha , ✅(2s) 
 test/py-spy , ✅(28s) 
 version-manager/semantic-release , ✅(11s) 
 python/pipx , ✅(6s) 
 python/xonsh , ✅(7s) 
 python/pypy , ✅(18s) 
 python/cruft , ✅(10s) 
 python/bowler , ✅(7s) 
 python/pywal , ✅(7s) 
 python/miniconda , ✅(1s) 
 security/osquery , ✅(3s) 
 security/stegcloak , ✅(5s) 
 security/certbot , ✅(10s) 
 security/dnstwist , ✅(5s) 
 security/skate , ✅(3s) 
 security/snyk , ✅(9s) 
 security/sodium , ❌(smoke) 
 security/smartctl , ❌(smoke) 
 security/openssl , ✅(2s) 
 security/lynis , ✅(2s) 
 security/shodan , ✅(8s) 
 package-manager/pnpm , ❌(smoke) 
 linter/coala , ✅(10s) 
 linter/hint , ✅(24s) 
 linter/monkeytype , ✅(25s) 
 linter/alex , ✅(11s) 
 linter/sqlfluff , ✅(12s) 
 linter/pyre-check , ✅(18s) 
 linter/vulture , ✅(8s) 
 linter/pylint , ✅(9s) 
 linter/commitlint , ✅(7s) 
 linter/vale , ✅(2s) 
 linter/typos , ✅(2s) 
 linter/wemake-python-styleguide , ❌(env_try) 
 linter/prettier , ❌(env_try) 
 linter/cfn-lint , ✅(32s) 
 linter/prospector , ✅(18s) 
 linter/revive , ✅(2s) 
 linter/isort , ✅(8s) 
 linter/cspell , ✅(9s) 
 linter/gofumpt , ✅(2s) 
 linter/yapf , ✅(7s) 
 linter/golangci-lint , ✅(3s) 
 linter/code2flow , ✅(8s) 
 linter/pytype , ✅(57s) 
 linter/black , ✅(8s) 
 sdkman/activemq , ✅(46s) 
 sdkman/ant , ❌(smoke) 
 sdkman/quarkus , ❌(smoke) 
 sdkman/karaf , ❌(env_try) 
 sdkman/kscript , ❌(env_try) 
 sdkman/btrace , ❌(smoke) 
 sdkman/connor , ✅(3s) 
 sdkman/neo4j_migrations , ✅(3s) 
 sdkman/flink , ✅(40s) 
 sdkman/maven , ❌(smoke) 
 sdkman/ktx , ❌(smoke) 
 sdkman/layrry , ❌(smoke) 
 sdkman/kobweb , ❌(smoke) 
 sdkman/grails , ❌(smoke) 
 sdkman/jmeter , ❌(smoke) 
 sdkman/mybatis_migrations , ❌(smoke) 
 sdkman/schemacrawler , ✅(20s) 
 sdkman/gradle , ❌(smoke) 
 sdkman/mulefd , ❌(smoke) 
 sdkman/pomchecker , ❌(smoke) 
 sdkman/jbake , ❌(smoke) 
 sdkman/hadoop , ❌(smoke) 
 sdkman/ki , ✅(6s) 
 sdkman/micronaut , ✅(3s) 
 sdkman/skeletal , ❌(smoke) 
 sdkman/gaiden , ❌(env_try) 
 sdkman/sbt , ✅(27s) 
 sdkman/bpipe , ❌(env_try) 
 sdkman/doctoolchain , ❌(smoke) 
 sdkman/mvnd , ❌(smoke) 
 sdkman/visualvm , ✅(6s) 
 sdkman/cxf , ❌(smoke) 
 sdkman/coursier , ✅(5s) 
 sdkman/concurnas , ❌(env_try) 
 sdkman/ballerina , ✅(15s) 
 sdkman/pierrot , ✅(4s) 
 sdkman/toolkit , ✅(2s) 
 sdkman/spark , ❌(smoke) 
 sdkman/mcs , ✅(3s) 
 sdkman/infrastructor , ❌(smoke) 
 sdkman/groovyserv , ✅(4s) 
 shell/powerline-go , ✅(2s) 
 shell/bash-preexec , ❌(smoke) 
 shell/cppman , ✅(10s) 
 shell/shx , ✅(3s) 
 shell/zoxide , ✅(2s) 
 shell/usql , ✅(6s) 
 shell/exa , ✅(1s) 
 shell/hyperfine , ✅(2s) 
 shell/procs , ✅(2s) 
 shell/busybox , - 
 shell/eza , ✅(2s) 
 shell/bat , ✅(2s) 
 shell/zsh , ✅(3s) 
 shell/funky , ✅(34s) 
 network/mosquitto , ✅(3s) 
 network/is-online-cli , ✅(11s) 
 network/fast-cli , ✅(21s) 
 network/magic-wormhole , ✅(48s) 
 network/grpcurl , ✅(2s) 
 network/mkcert , ✅(2s) 
 network/termshark , ❌(smoke) 
 network/gallery-dl , ✅(7s) 
 network/mitmproxy , ✅(18s) 
 network/duckduckgo_search , ✅(9s) 
 network/t-get , ❌(smoke) 
 network/yt-dlp , ✅(11s) 
 network/public-ip-cli , ✅(3s) 
 network/ncat , ✅(2s) 
 network/doggo , ✅(2s) 
 network/gost , ✅(2s) 
 network/aria2 , ✅(1s) 
 network/webtorrent-cli , ✅(16s) 
 network/nping , ✅(2s) 
 network/xh , ✅(2s) 
 network/localtunnel , ✅(2s) 
 network/croc , ✅(1s) 
 network/curl , ✅(1s) 
 network/httpx , ❌(smoke) 
 network/speedtest-cli , ✅(24s) 
 network/frp , ✅(2s) 
 network/ffuf , ✅(2s) 
 network/websocat , ✅(2s) 
 network/youtube-dl , ✅(8s) 
 network/httpie , ✅(8s) 
 network/bandwhich , ✅(2s) 
 network/traceroute , - 
 network/socat , ✅(2s) 
 network/ttyd , - 
 network/nmap , ✅(3s) 
 network/benthos , ❌(env_try) 
 network/you-get , ✅(6s) 
 network/q , ✅(2s) 
 network/is-up-cli , ✅(7s) 
 network/hurl , ✅(2s) 
 other/nasa-cli , ✅(4s) 
 plugin/zsh-plugin , ✅(2s) 
 plugin/sqlite-vss , ❌(smoke) 
 plugin/sqlite-xsv , ❌(smoke) 
 plugin/sqlite-simple , ❌(smoke) 
 template/hygen , ✅(3s) 
 template/yo , ✅(20s) 
 terminal/keep , ✅(24s) 
 terminal/epr-reader , ✅(6s) 
 terminal/terminal-image-cli , ✅(8s) 
 terminal/norwegianblue , ✅(9s) 
 terminal/thefuck , ✅(6s) 
 terminal/gum , ✅(3s) 
 terminal/doitlive , ✅(7s) 
 terminal/genact , ❌(smoke) 
 terminal/concurrently , ✅(20s) 
 terminal/fx , ✅(2s) 
 terminal/tmuxp , ✅(6s) 
 terminal/invoke , ✅(5s) 
 terminal/nb.sh , ✅(3s) 
 terminal/easy-sharing , ✅(4s) 
 terminal/ov , ✅(2s) 
 terminal/viddy , ✅(3s) 
 terminal/vhs , - 
 terminal/howdoi , ✅(12s) 
 terminal/navi , ✅(1s) 
 terminal/cookiecutter , ✅(9s) 
 terminal/doit , ✅(6s) 
 terminal/percol , ✅(6s) 
 terminal/envsubst , ✅(1s) 
 terminal/haxor-news , ✅(9s) 
 terminal/bpytop , ✅(6s) 
 terminal/sncli , ✅(7s) 
 terminal/taskbook , ✅(4s) 
 terminal/zenith , ✅(2s) 
 terminal/mapscii , ✅(2s) 
 terminal/ngxtop , ✅(6s) 
 terminal/zellij , ✅(2s) 
 terminal/asciinema , ✅(5s) 
 terminal/dnote , ✅(2s) 
 terminal/tmux , ✅(2s) 
 terminal/copier , ✅(12s) 
 terminal/shtris , ✅(2s) 
 terminal/bcat , ✅(7s) 
 terminal/emoj , ✅(5s) 
 terminal/direnv , ✅(2s) 
 terminal/chatgpt , ✅(2s) 
 terminal/jupyterlab , ✅(41s) 
 terminal/glow , ✅(2s) 
 terminal/helix , ✅(4s) 
 terminal/rebound-cli , ✅(7s) 
 terminal/ulp , ✅(6s) 
 terminal/wait-on , ✅(3s) 
 terminal/ddgr , ✅(6s) 
 terminal/gotop , ❌(smoke) 
 terminal/buku , ❌(smoke) 
 terminal/watchexec , ✅(2s) 
 terminal/peco , ✅(2s) 
 terminal/glances , ✅(6s) 
 terminal/td-cli , ✅(6s) 
 terminal/invoice , ✅(2s) 
 filesystem/tokei , ✅(2s) 
 filesystem/dust , ✅(2s) 
 filesystem/ranger , ❌(smoke) 
 filesystem/ismc , ✅(3s) 
 filesystem/broot , - 
 filesystem/rclone , ✅(3s) 
 filesystem/ncp , ❌(smoke) 
 filesystem/trash-cli , ✅(9s) 
 filesystem/fd , ✅(2s) 
 filesystem/yazi , ✅(2s) 
 filesystem/hexyl , ✅(1s) 
 filesystem/scc , ✅(2s) 
 filesystem/lf , ✅(2s) 
 filesystem/dua , ✅(2s) 
 filesystem/duf , ✅(2s) 
 cicd/act , ✅(2s) 
 lang/deno , ✅(3s) 
 lang/zig , ✅(10s) 
 lang/go , ✅(10s) 
 lang/wasmtime , ✅(2s) 
 lang/python , ✅(20s) 
 lang/tsx , ✅(2s) 
 lang/perl , ❌(env_try) 
 lang/rust , ✅(69s) 
 lang/ts-node , ✅(7s) 
 lang/java , ✅(9s) 
 lang/kotlin , ✅(6s) 
 lang/bun , ✅(3s) 
 lang/lua , ✅(2s) 
 lang/goreleaser , ✅(4s) 
 lang/wasmer , ✅(8s) 
 lang/scala , ✅(6s) 
 lang/julia , ❌(env_try) 
 lang/groovy , ✅(6s) 
 lang/raku , ✅(6s) 
 lang/node , ✅(5s) 
 lang/mawk , ✅(1s) 
 container/kube-score , ✅(3s) 
 container/bwrap , - 
 container/kube-linter , ✅(3s) 
 container/k3d , ✅(3s) 
 container/minikube , ✅(4s) 
 container/kube-capacity , ✅(3s) 
 container/dive , ✅(2s) 
 container/kind , ✅(2s) 
 container/lazydocker , ✅(2s) 
 container/syft , ✅(3s) 
 container/kubectx , ✅(2s) 
 container/slim , ❌(env_try) 
 container/helm , ✅(2s) 
 container/ctop , ✅(2s) 
 webserver/playwright , ✅(4s) 
 webserver/browser-run , ✅(14s) 
 webserver/capture-website-cli , ✅(23s) 
 webserver/serve , ✅(4s) 
 webserver/nodemon , ✅(3s) 
 webserver/caddy , ✅(3s) 
 ssh/xxh-xxh , ✅(23s) 
 ssh/ssh-audit , ✅(7s) 
 ssh/assh , ✅(2s) 
 iac/terraform , ✅(3s) 
 iac/heroku , ✅(57s) 
 iac/ansible , ✅(46s) 
 iac/pyinfra , ✅(273s) 
 iac/python-openstackclient , ✅(23s) 
 ai/llm , ✅(14s) 
 ai/gpt-engineer , ❌(smoke) 
 ai/gptui , ❌(smoke) 
 ai/chatblade , ❌(smoke) 
 ai/open-interpreter , ✅(51s) 
 ai/how2 , ✅(9s) 
 cloud/gcloud , ❌(smoke) 
 cloud/tccli , ✅(42s) 
 cloud/doctl , ✅(3s) 
 cloud/qshell , ✅(3s) 
 cloud/ibmcloud , ✅(2s) 
 cloud/azure-cli , ❌(env_try) 
 cloud/aliyun , ✅(2s) 
 cloud/create-cloudflare , ✅(9s) 
 cloud/wrangler , ✅(7s) 
 cloud/s4cmd , ✅(12s) 
 cloud/linode-cli , ✅(8s) 
 cloud/ucloud , ✅(3s) 
 cloud/awscli , ✅(14s) 
 cloud/oci-cli , ✅(47s) 
 cloud/qingcloud-cli , ✅(10s) 
 cloud/vultr-cli , ✅(2s) 
 cloud/s3cmd , ✅(6s) 
 cloud/flarectl , ✅(2s) 
 cloud/jdcloud_cli , ✅(27s) 
 cloud/athenacli , ❌(smoke) 
 cloud/koocli , ✅(3s) 
 cloud/firebase-tools , ✅(23s) 
 cloud/hcloud , ✅(2s) 
 multimedia/agg , ✅(2s) 
 multimedia/video-to-ascii , ❌(env_try) 
 multimedia/ffmpeg , ✅(3s) 
 multimedia/mystmd , ✅(2s) 
 multimedia/pageres-cli , ✅(29s) 
 multimedia/ascii-image-converter , ✅(2s) 
 multimedia/termsvg , ✅(2s) 
 multimedia/pdfcpu , ✅(2s) 
 multimedia/face_recognition , ✅(388s) 
 multimedia/beets , ✅(9s) 
 multimedia/editly , ❌(env_try) 
 multimedia/carbon-now-cli , ✅(51s) 
 multimedia/mermaid-cli , ✅(15s) 
 multimedia/ocrmypdf , ✅(15s) 
 multimedia/qpdf , - 
 multimedia/magick , ❌(smoke) 
 multimedia/themer , ✅(5s) 
 db/mycli , ✅(13s) 
 db/xlsxsql , ✅(2s) 
 db/mssql-cli , ❌(smoke) 
 db/mdtsql , ✅(2s) 
 db/pgcli , ✅(11s) 
