 reader/haxor-news , ✅(28s) 
 reader/epr , ✅(22s) 
 reader/glow , ✅(2s) 
 osman/nerdctl , - 
 osman/tunasync , - 
 osman/mirrord , ✅(5s) 
 osman/dry , ✅(3s) 
 osman/proot , - 
 osman/bed , ✅(2s) 
 osman/nfpm , ✅(3s) 
 osman/hugo , ✅(5s) 
 osman/zola , ✅(3s) 
 osman/iamlive , ✅(3s) 
 osman/cfssl , ✅(3s) 
 osman/obs , ✅(1s) 
 osman/fkill-cli , ✅(11s) 
 osman/etcd , ✅(3s) 
 osman/easyrsa , ✅(2s) 
 osman/macchina , ✅(2s) 
 osman/gopass , ✅(2s) 
 osman/pm2 , ✅(11s) 
 lint/oxlint , ✅(4s) 
 lint/hadolint , ✅(5s) 
 virtualization/lima , ✅(6s) 
 test/hey , ✅(5s) 
 test/goss , ✅(3s) 
 test/loadtest , ✅(3s) 
 test/oha , ✅(2s) 
 test/py-spy , ✅(6s) 
 version-manager/semantic-release , ✅(10s) 
 python/pipx , ✅(7s) 
 python/xonsh , ✅(6s) 
 python/pypy , ✅(16s) 
 python/cruft , ✅(10s) 
 python/bowler , ✅(22s) 
 python/pywal , ✅(6s) 
 python/miniconda , ✅(1s) 
 security/tfsec , ✅(4s) 
 security/osquery , ✅(5s) 
 security/stegcloak , ✅(10s) 
 security/certbot , ✅(10s) 
 security/dnstwist , ✅(6s) 
 security/zoomeye , ✅(6s) 
 security/skate , ✅(3s) 
 security/snyk , ✅(10s) 
 security/age , ✅(2s) 
 security/mc , ✅(3s) 
 security/sodium , ❌(smoke) 
 security/smartctl , ❌(smoke) 
 security/openssl , ✅(2s) 
 security/lynis , ✅(3s) 
 security/shodan , ✅(8s) 
 security/chezmoi , ✅(3s) 
 security/cmctl , ✅(2s) 
 security/trivy , ✅(7s) 
 security/grype , ✅(5s) 
 package-manager/pnpm , ✅(5s) 
 linter/ruff , ✅(3s) 
 linter/coala , ✅(13s) 
 linter/hint , ✅(24s) 
 linter/monkeytype , ✅(7s) 
 linter/alex , ✅(17s) 
 linter/sqlfluff , ✅(10s) 
 linter/pyre-check , ✅(14s) 
 linter/vulture , ✅(21s) 
 linter/pylint , ✅(8s) 
 linter/commitlint , ✅(12s) 
 linter/vale , ✅(3s) 
 linter/typos , ✅(3s) 
 linter/wemake-python-styleguide , ❌(env_try) 
 linter/dotenv-linter , ✅(2s) 
 linter/prettier , ✅(2s) 
 linter/cfn-lint , ✅(25s) 
 linter/prospector , ✅(16s) 
 linter/revive , ✅(2s) 
 linter/isort , ✅(6s) 
 linter/cspell , ✅(5s) 
 linter/gofumpt , ✅(2s) 
 linter/yapf , ✅(6s) 
 linter/golangci-lint , ✅(3s) 
 linter/code2flow , ✅(6s) 
 linter/pytype , ✅(43s) 
 linter/black , ✅(7s) 
 linter/sqlfmt , ✅(6s) 
 sdkman/activemq , ✅(22s) 
 sdkman/ant , ✅(4s) 
 sdkman/quarkus , ✅(9s) 
 sdkman/karaf , ❌(env_try) 
 sdkman/kscript , - 
 sdkman/btrace , ✅(2s) 
 sdkman/connor , ✅(3s) 
 sdkman/neo4j_migrations , ✅(4s) 
 sdkman/flink , ✅(43s) 
 sdkman/maven , ✅(3s) 
 sdkman/ktx , ✅(4s) 
 sdkman/layrry , ✅(5s) 
 sdkman/kobweb , ✅(2s) 
 sdkman/grails , ✅(9s) 
 sdkman/jmeter , ✅(16s) 
 sdkman/mybatis_migrations , ✅(3s) 
 sdkman/schemacrawler , ✅(11s) 
 sdkman/gradle , ✅(7s) 
 sdkman/mulefd , ✅(3s) 
 sdkman/pomchecker , ✅(2s) 
 sdkman/jbake , ✅(5s) 
 sdkman/hadoop , ✅(57s) 
 sdkman/ki , ✅(4s) 
 sdkman/micronaut , ✅(3s) 
 sdkman/skeletal , ✅(5s) 
 sdkman/gaiden , ✅(15s) 
 sdkman/sbt , ✅(22s) 
 sdkman/bpipe , ✅(14s) 
 sdkman/doctoolchain , ✅(7s) 
 sdkman/mvnd , ✅(11s) 
 sdkman/visualvm , ✅(5s) 
 sdkman/cxf , ❌(smoke) 
 sdkman/coursier , ✅(2s) 
 sdkman/concurnas , ❌(smoke) 
 sdkman/ballerina , ✅(11s) 
 sdkman/pierrot , ✅(3s) 
 sdkman/toolkit , ✅(2s) 
 sdkman/spark , ❌(env_try) 
 sdkman/mcs , ✅(2s) 
 sdkman/infrastructor , ✅(4s) 
 sdkman/groovyserv , ✅(3s) 
 shell/powerline-go , ✅(2s) 
 shell/bash-preexec , ❌(smoke) 
 shell/cppman , ✅(23s) 
 shell/shx , ✅(6s) 
 shell/khal , ✅(9s) 
 shell/reviewdog , ✅(3s) 
 shell/starship , ✅(2s) 
 shell/zoxide , ✅(2s) 
 shell/usql , ✅(5s) 
 shell/exa , ✅(1s) 
 shell/hyperfine , ✅(3s) 
 shell/just , ✅(2s) 
 shell/murex , ✅(3s) 
 shell/fastly , ✅(3s) 
 shell/g , ✅(3s) 
 shell/procs , ✅(1s) 
 shell/busybox , - 
 shell/pathman , ✅(2s) 
 shell/sampler , ✅(2s) 
 shell/eza , ✅(2s) 
 shell/pueue , ✅(2s) 
 shell/gcalcli , ✅(11s) 
 shell/bat , ✅(2s) 
 shell/joker , ✅(2s) 
 shell/zsh , ✅(3s) 
 shell/funky , ✅(7s) 
 shell/chsrc , ✅(2s) 
 shell/hostctl , ✅(2s) 
 network/mosquitto , ✅(2s) 
 network/is-online-cli , ✅(6s) 
 network/miniserve , ✅(3s) 
 network/fast-cli , ✅(17s) 
 network/bore , ✅(2s) 
 network/magic-wormhole , ✅(38s) 
 network/json-server , ✅(6s) 
 network/grpcurl , ❌(env_try) 
 network/mkcert , ✅(3s) 
 network/termshark , ❌(smoke) 
 network/gallery-dl , ✅(22s) 
 network/mitmproxy , ✅(17s) 
 network/duckduckgo_search , ✅(8s) 
 network/t-get , ❌(smoke) 
 network/yt-dlp , ✅(10s) 
 network/shadowsocks-rust , ✅(2s) 
 network/public-ip-cli , ✅(4s) 
 network/curlie , ❌(smoke) 
 network/ncat , ✅(2s) 
 network/doggo , ✅(3s) 
 network/gost , ✅(3s) 
 network/aria2 , ✅(3s) 
 network/webtorrent-cli , ✅(11s) 
 network/ipatool , ✅(2s) 
 network/wuzz , ✅(2s) 
 network/nping , ✅(3s) 
 network/xh , ✅(2s) 
 network/localtunnel , ✅(2s) 
 network/croc , ✅(3s) 
 network/serviceman , ✅(2s) 
 network/curl , ✅(0s) 
 network/httpx , ✅(10s) 
 network/wetty , ❌(env_try) 
 network/speedtest-cli , ✅(23s) 
 network/zoro , ✅(2s) 
 network/frp , ✅(3s) 
 network/chisel , ✅(2s) 
 network/nico , ✅(3s) 
 network/ffuf , ✅(2s) 
 network/gping , ✅(2s) 
 network/websocat , ✅(2s) 
 network/trippy , ❌(smoke) 
 network/youtube-dl , ✅(24s) 
 network/httpie , ✅(11s) 
 network/bandwhich , ✅(2s) 
 network/traceroute , - 
 network/socat , ✅(3s) 
 network/ttyd , ❌(smoke) 
 network/ddgr , ✅(5s) 
 network/nmap , ✅(3s) 
 network/tproxy , ✅(1s) 
 network/benthos , ✅(5s) 
 network/you-get , ✅(6s) 
 network/q , ✅(3s) 
 network/tun2brook , ❌(env_try) 
 network/icloudpd , ✅(9s) 
 network/is-up-cli , ✅(9s) 
 network/hurl , ✅(3s) 
 other/nasa-cli , ✅(5s) 
 plugin/zsh-plugin , ✅(2s) 
 plugin/sqlite-vss , ❌(smoke) 
 plugin/sqlite-xsv , ❌(smoke) 
 plugin/sqlite-simple , ❌(smoke) 
 template/hygen , ✅(4s) 
 template/yo , ✅(26s) 
 terminal/keep , ✅(27s) 
 terminal/terminal-image-cli , ✅(7s) 
