 shell/hyperfine , ✅(1s)
 shell/exa , ✅(1s)
 shell/procs , ✅(1s)
 shell/busybox , -
 shell/usql , -
 shell/bat , ✅(1s)
 data/rg , -
 data/qrencode , ✅(2s)
 data/dasel , ✅(1s)
 data/brook , ✅(2s)
 data/yq , ✅(3s)
 data/7za , ✅(1s)
 data/sqlite3 , ✅(1s)
 data/fzf , ✅(1s)
 data/jq , ✅(2s)
 data/sqlean , -
 data/trdsql , ✅(1s)
 data/xsv , -
 data/grex , ❌(smoke)
 data/ws4sqlite , ✅(1s)
 data/sd , -
 data/zstd , ❌(smoke)
 data/difft , -
 data/upx , ✅(1s)
 data/micro , ✅(1s)
 data/pandoc , ✅(2s)
 security/skate , ✅(1s)
 security/smartctl , ❌(smoke)
 security/lynis , ✅(2s)
 security/openssl , ❌(smoke)
 security/sodium , ✅(1s)
 osman/hurl , -
 osman/aliyun , ✅(1s)
 osman/terraform , ✅(1s)
 osman/proot , ✅(3s)
 osman/ffuf , ✅(1s)
 osman/mirrord , ✅(1s)
 osman/ucloud , ❌(smoke)
 filesystem/tokei , ✅(1s)
 filesystem/rclone , ✅(1s)
 filesystem/fd , ✅(1s)
 filesystem/dust , ✅(1s)
 filesystem/duf , ✅(1s)
 filesystem/broot , -
 container/bwrap , ✅(1s)
 container/kube-capacity , ✅(1s)
 container/helm , ✅(1s)
 container/kind , ✅(1s)
 container/kubectx , ✅(1s)
 container/kube-linter , ❌(smoke)
 container/kube-score , ✅(2s)
 container/k3d , ✅(1s)
 container/minikube , ✅(2s)
 terminal/shtris , ✅(1s)
 terminal/zenith , -
 terminal/chatgpt , ✅(2s)
 terminal/glow , ✅(1s)
 terminal/tmux , ❌(smoke)
 terminal/vhs , ✅(2s)
 terminal/gotop , ✅(2s)
 terminal/zellij , ✅(1s)
 terminal/helix , ✅(2s)
 terminal/gum , ✅(1s)
 network/ncat , ❌(smoke)
 network/traceroute , ❌(smoke)
 network/socat , ✅(1s)
 network/websocat , ❌(env_try)
 network/nping , ❌(smoke)
 network/ttyd , ✅(1s)
 network/nmap , ❌(smoke)
 network/termshark , ✅(1s)
 network/curl , ✅(1s)
 network/gost , ✅(1s)
 network/aria2 , -
 network/bandwhich , ✅(1s)
 network/mosquitto , ❌(env_try)
 plugin/zsh-plugin , ✅(1s)
 plugin/sqlite-xsv , -
 plugin/sqlite-vss , -
 media/agg , -
 git/gitleaks , ✅(1s)
 git/act_runner , ✅(2s)
 git/gix , ❌(smoke)
 git/bit , ✅(1s)
 git/tig , ✅(1s)
 git/soft-serve , ✅(1s)
 git/lazygit , ✅(2s)
 git/gitui , ✅(1s)
 git/gh , ✅(1s)
 git/gitea , ✅(2s)
 git/tea , ✅(3s)
 lang/groovy , ✅(4s)
 lang/julia , ✅(2s)
 lang/kotlin , ✅(2s)
 lang/perl , ✅(2s)
 lang/node , ✅(4s)
 lang/java , ✅(2s)
 lang/python , ✅(2s)
 lang/bun , ✅(1s)
 lang/raku , -
 lang/go , ✅(2s)
 lang/wasmer , ✅(2s)
 lang/lua , ❌(smoke)
 lang/scala , ✅(5s)
 lang/wasmtime , ✅(1s)
 lang/zig , ✅(1s)
 lang/deno , ❌(smoke)
 lang/rust , ✅(2s)
 lang/goreleaser , ✅(1s)
 lang/mawk , ❌(smoke)
 multimedia/pdfcpu , ✅(1s)
 multimedia/termsvg , ❌(env_try)
 multimedia/ffmpeg , ✅(2s)
 multimedia/magick , ❌(smoke)
 sdkman/activemq , ✅(5s)
 sdkman/karaf , ✅(15s)
 sdkman/mcs , -
 sdkman/sbt , ✅(18s)
 sdkman/scala_cli , ✅(4s)
 sdkman/jbake , ✅(3s)
 sdkman/gradle , ✅(5s)
 sdkman/ant , ✅(2s)
 sdkman/ballerina , ✅(7s)
 sdkman/jreleaser , ✅(3s)
 sdkman/kscript , ✅(9s)
 sdkman/visualvm , ❌(smoke)
 sdkman/micronaut , ❌(smoke)
 sdkman/pomchecker , ✅(3s)
 sdkman/layrry , ✅(3s)
 sdkman/toolkit , ✅(2s)
 sdkman/mvnd , -
 sdkman/connor , -
 sdkman/ktx , ✅(3s)
 sdkman/gaiden , ✅(6s)
 sdkman/mulefd , ✅(3s)
 sdkman/tomcat , ✅(3s)
 sdkman/pierrot , -
 sdkman/asciidoctorj , -
 sdkman/ki , ✅(3s)
 sdkman/spark , ✅(12s)
 sdkman/flink , ✅(17s)
 sdkman/neo4j_migrations , ❌(smoke)
 sdkman/schemacrawler , ✅(11s)
 sdkman/doctoolchain , ✅(4s)
 sdkman/kobweb , ✅(2s)
 sdkman/infrastructor , ✅(4s)
 sdkman/skeletal , ✅(7s)
 sdkman/coursier , -
 sdkman/bpipe , ✅(4s)
 sdkman/hadoop , ✅(10s)
 sdkman/znai , ❌(smoke)
 sdkman/groovyserv , ❌(smoke)
 sdkman/webtau , ❌(smoke)
 sdkman/maven , ✅(2s)
 sdkman/mybatis_migrations , ✅(2s)
 sdkman/btrace , ✅(2s)
 sdkman/quarkus , ✅(5s)
 sdkman/concurnas , ❌(smoke)
 sdkman/jmeter , ✅(8s)
 sdkman/grails , ✅(4s)
 sdkman/cxf , ✅(3s)
