 lint/shellcheck , ✅(6s)
 lint/oxlint , ✅(6s)
 version-manager/semantic-release , ✅(9s)
 webserver/serve , ✅(3s)
 webserver/browser-run , ✅(8s)
 webserver/playwright , ✅(2s)
 webserver/caddy , ✅(2s)
 webserver/capture-website-cli , ✅(14s)
 webserver/nodemon , ✅(2s)
 ai/gptui , ❌(smoke) , -
 ai/chatblade , ✅(10s)
 ai/how2 , ✅(5s)
 ai/open-interpreter , ✅(26s)
 ai/llm , ✅(9s)
 ai/gpt-engineer , ✅(17s)
 ai/aichat , ✅(1s)
 network/youtube-dl , ✅(5s)
 network/miniserve , ✅(1s)
 network/yt-dlp , ✅(7s)
 network/bandwhich , ✅(1s)
 network/t-get , ❌(smoke) , -
 network/localtunnel , ✅(1s)
 network/aria2 , ✅(2s)
 network/is-up-cli , ✅(3s)
 network/mitmproxy , ✅(11s)
 network/fast-cli , ✅(9s)
 network/tproxy , ✅(1s)
 network/ncat , ✅(1s)
 network/webtorrent-cli , ✅(9s)
 network/xh , ✅(1s)
 network/duckduckgo_search , ✅(5s)
 network/curl , ✅(0s)
 network/chisel , ✅(1s)
 network/socat , ✅(1s)
 network/speedtest-cli , ✅(14s)
 network/mosquitto , ✅(1s)
 network/gallery-dl , ✅(5s)
 network/ttyd , ✅(1s)
 network/websocat , ✅(1s)
 network/mkcert , ✅(1s)
 network/gost , ✅(1s)
 network/gping , ✅(1s)
 network/grpcurl , ✅(1s)
 network/doggo , ✅(1s)
 network/frp , ✅(1s)
 network/nping , ✅(1s)
 network/hurl , ✅(1s)
 network/traceroute , ✅(1s)
 network/httpx , ✅(13s)
 network/magic-wormhole , ✅(23s)
 network/public-ip-cli , ✅(4s)
 network/wuzz , ✅(0s)
 network/ffuf , ✅(1s)
 network/croc , ✅(1s)
 network/you-get , ✅(4s)
 network/httpie , ✅(6s)
 network/termshark , ❌(smoke) , -
 network/q , ✅(1s)
 network/nmap , ✅(2s)
 network/is-online-cli , ✅(3s)
 network/bore , ✅(1s)
 network/benthos , ✅(3s)
 sdkman/coursier , ✅(1s)
 sdkman/mybatis_migrations , ✅(310s)
 sdkman/schemacrawler , ✅(7s)
 sdkman/activemq , ✅(4s)
 sdkman/ballerina , ✅(6s)
 sdkman/kobweb , ✅(1s)
 sdkman/spark , ✅(7s)
