 package-manager/pnpm , ✅(6s) 
 package-manager/luarocks , ✅(4s) 
 terminal/tmux , ✅(1s) 
 terminal/asciigraph , ✅(1s) 
 terminal/zellij , ✅(2s) 
 terminal/tmuxp , ✅(56s) 
 terminal/starship , ✅(1s) 
 terminal/kanban-python , ✅(5s) 
 terminal/oh-my-posh , ✅(2s) 
 terminal/gum , ✅(2s) 
 web-infrastructure/serve , ✅(5s) 
 web-infrastructure/hugo , ✅(3s) 
 web-infrastructure/ngxtop , ✅(4s) 
 web-infrastructure/rustfs , ✅(6s) 
 web-infrastructure/zola , ✅(1s) 
 web-infrastructure/dufs , ✅(2s) 
 web-infrastructure/caddy , ✅(2s) 
 build/cmake , ✅(5s) 
 build/just , ✅(2s) 
 shell/powerline-go , ✅(1s) 
 shell/nushell , ✅(5s) 
 shell/xonsh , ✅(6s) 
 shell/elvish , ✅(2s) 
 shell/zx , ✅(1s) 
 shell/zsh , ✅(1s) 
 shell/murex , ✅(2s) 
 shell/shfmt , ✅(1s) 
 shell/direnv , ✅(1s) 
 shell/pathman , ✅(2s) 
 shell/shellcheck , ✅(1s) 
 web-template/yo , ✅(13s) 
 web-template/hygen , ✅(5s) 
 web-template/mkdocs , ✅(12s) 
 reader/haxor-news , ✅(7s) 
 reader/delta , ✅(1s) 
 reader/epr , ✅(4s) 
 misc/navi , ✅(2s) 
 misc/grex , ✅(1s) 
 misc/restic , ✅(2s) 
 misc/kopia , ✅(2s) 
 misc/datasette , ✅(6s) 
 misc/psutilsql , ✅(2s) 
 misc/thefuck , ✅(5s) 
 misc/nanoid , ✅(1s) 
 misc/wtfutil , ✅(2s) 
 misc/easy-sharing , ✅(3s) 
 misc/invoice , ✅(1s) 
 misc/pywal , ❌(env_try) 
 misc/atuin , ✅(1s) 
 misc/gomplate , ✅(2s) 
 misc/percol , ✅(5s) 
 scm-git-service/glab , ✅(2s) 
 scm-git-service/act , ✅(2s) 
 scm-git-service/tea , ✅(1s) 
 scm-git-service/soft-serve , ❌(env_try) 
 scm-git-service/gitea , ✅(5s) 
 scm-git-service/goreleaser , ✅(3s) 
 scm-git-service/act_runner , ✅(2s) 
 scm-git-service/gh , ✅(2s) 
 lang-python/wemake-python-styleguide , ❌(env_try) 
 lang-python/doit , ✅(4s) 
 lang-python/copier , ✅(15s) 
 lang-python/pytype , ✅(8s) 
 lang-python/norwegianblue , ✅(6s) 
 lang-python/vulture , ✅(4s) 
 lang-python/howdoi , ✅(9s) 
 lang-python/bowler , ✅(5s) 
 lang-python/rebound-cli , ✅(6s) 
 lang-python/isort , ✅(4s) 
 lang-python/pipx , ✅(5s) 
 lang-python/miniconda , ✅(1s) 
 lang-python/invoke , ✅(4s) 
 lang-python/cruft , ✅(7s) 
 lang-python/pygments , ✅(4s) 
 lang-python/monkeytype , ✅(5s) 
 lang-python/pypy , ✅(16s) 
 lang-python/face_recognition , ❌(smoke) 
 lang-python/pyre-check , ✅(8s) 
 lang-python/rye , ✅(2s) 
 lang-python/prospector , ✅(7s) 
 lang-python/pylint , ✅(5s) 
 lang-python/uv , ✅(2s) 
 lang-python/black , ✅(5s) 
 lang-python/cookiecutter , ✅(6s) 
 lang-python/marimo , ✅(11s) 
 data-csv-tsv/xsv , ✅(1s) 
 data-csv-tsv/csview , ✅(1s) 
 data-csv-tsv/csvkit , ✅(8s) 
 data-csv-tsv/miller , ✅(2s) 
 data-csv-tsv/tabiew , ✅(1s) 
 data-csv-tsv/trdsql , ✅(1s) 
 data-csv-tsv/csvlens , ✅(1s) 
 journey/taskbook , ❌(env_try) 
 journey/td-cli , ✅(11s) 
 journey/calcure , ✅(6s) 
 journey/pueue , ✅(2s) 
 journey/gcalcli , ✅(11s) 
 journey/khal , ✅(6s) 
 db-sqlite/ws4sqlite , ✅(2s) 
 db-sqlite/sqlean , ❌(env_try) 
 db-sqlite/sqlite3 , ✅(1s) 
 db-sqlite/litecli , ✅(6s) 
 file-manager/lf , ✅(1s) 
 file-manager/yazi , ✅(2s) 
 file-manager/xplr , ✅(1s) 
 file-manager/ranger , ❌(smoke) 
 file-manager/superfile , ✅(1s) 
 file-manager/g , ✅(2s) 
 file-manager/lsd , ✅(1s) 
 file-manager/exa , ✅(1s) 
 file-manager/eza , ✅(1s) 
 file-manager/broot , ✅(1s) 
 web-browser/trafilatura , ✅(9s) 
 web-browser/capture-website-cli , ❌(smoke) 
 web-browser/gotty , ✅(1s) 
 web-browser/ddgr , ✅(4s) 
 web-browser/browser-run , ✅(7s) 
 web-browser/ttyd , ✅(2s) 
 web-browser/playwright , ✅(2s) 
 scm-git-tool/pre-commit , ✅(6s) 
 scm-git-tool/lefthook , ✅(1s) 
 scm-git-tool/czg , ✅(4s) 
 scm-git-tool/gix , ✅(1s) 
 scm-git-tool/bit , ✅(2s) 
 scm-git-tool/gitleaks , ✅(1s) 
 scm-git-tool/tig , ✅(1s) 
 scm-git-tool/gitu , ✅(2s) 
 scm-git-tool/jj , ✅(2s) 
 scm-git-tool/lazygit , ✅(2s) 
 scm-git-tool/git-chglog , ✅(2s) 
 scm-git-tool/onefetch , ✅(1s) 
 scm-git-tool/gitui , ✅(1s) 
 scm-git-tool/commitlint , ✅(4s) 
 data-bin/upx , ✅(2s) 
 data-bin/protobuf , ✅(1s) 
 data-bin/hexyl , ✅(1s) 
 data-bin/bed , ✅(1s) 
 data-bin/binsider , ✅(2s) 
 data-bin/fq , ✅(1s) 
 data-text/xlsxsql , ✅(2s) 
 data-text/sd , ✅(1s) 
 data-text/pandoc , ✅(4s) 
 data-text/typst , ✅(2s) 
 data-text/unidecode , ✅(12s) 
 lang-perl-raku/raku , ✅(8s) 
 lang-perl-raku/perl , ✅(2s) 
 db-pg/pgcli , ✅(7s) 
