 js/ts-node , ❌(env_try) 
 js/bun , ✅(3s) 
 js/deno , ✅(3s) 
 js/tsx , ✅(5s) 
 js/node , ✅(2s) 
 webserver/caddy , ✅(2s) 
 webserver/dufs , ✅(2s) 
 webserver/serve , ✅(3s) 
 webserver/easy-sharing , ✅(3s) 
 webserver/capture-website-cli , ✅(14s) 
 webserver/nodemon , ✅(2s) 
 webserver/browser-run , ✅(7s) 
 webserver/playwright , ✅(3s) 
 db/harlequin , ✅(31s) 
 db/mssql-cli , ❌(smoke) 
 db/iredis , ✅(8s) 
 db/atuin , ✅(3s) 
 db/mkdocs , ✅(5s) 
 db/usql , ✅(4s) 
 db/anidbcli , ✅(6s) 
 db/psutilsql , ✅(2s) 
 db/mycli , ✅(8s) 
 db/sqlite3 , ✅(2s) 
 db/datasette , ✅(7s) 
 db/xlsxsql , ✅(2s) 
 db/litecli , ✅(6s) 
 db/mdtsql , ✅(2s) 
 db/pgcli , ✅(6s) 
 db/mysql , ✅(22s) 
 terminal/peco , ✅(2s) 
 terminal/asciigraph , ✅(2s) 
 terminal/percol , ✅(12s) 
 terminal/gum , ✅(3s) 
 terminal/zenith , ✅(1s) 
 terminal/fzf , ✅(2s) 
 terminal/wtfutil , ✅(2s) 
 linter/alex , ✅(11s) 
 linter/golangci-lint , ✅(2s) 
 linter/pytype , ✅(9s) 
 linter/stylua , ✅(1s) 
 linter/gofumpt , ✅(1s) 
 linter/pylint , ✅(6s) 
 linter/pyre-check , ✅(11s) 
 linter/vale , ✅(2s) 
 linter/monkeytype , ✅(5s) 
 linter/prospector , ✅(11s) 
 linter/emmyluacodestyle , ✅(2s) 
 linter/wemake-python-styleguide , ❌(env_try) 
 linter/sqlfmt , ✅(5s) 
 linter/hint , ✅(12s) 
 linter/sqlfluff , ✅(7s) 
 linter/ruff , ✅(3s) 
 linter/yapf , ✅(4s) 
 linter/prettier , ✅(2s) 
 linter/typos , ✅(2s) 
 linter/vulture , ✅(4s) 
 linter/code2flow , ✅(4s) 
 linter/black , ✅(5s) 
 linter/cfn-lint , ✅(17s) 
 linter/isort , ✅(4s) 
 linter/coala , ✅(8s) 
 linter/cspell , ✅(8s) 
 linter/commitlint , ✅(5s) 
 linter/dotenv-linter , ✅(1s) 
 linter/revive , ✅(2s) 
 other/comrak , ✅(1s) 
 other/sncli , ✅(12s) 
 other/wait-on , ✅(2s) 
 other/bash-preexec , ❌(smoke) 
 other/emoj , ✅(4s) 
 other/ulp , ❌(smoke) 
 other/ngxtop , ✅(5s) 
 other/bcat , ✅(2s) 
 other/shelljs , ✅(2s) 
 other/pathman , ✅(1s) 
 other/shx , ✅(1s) 
 other/funky , ✅(5s) 
 other/jupyterlab , ✅(17s) 
 other/nasa-cli , ✅(8s) 
 other/tmuxp , ✅(6s) 
 other/howdoi , ✅(9s) 
 other/concat-md , ✅(5s) 
 other/keep , ✅(7s) 
 other/mapscii , ✅(2s) 
 other/envsubst , ✅(2s) 
 other/nb.sh , ✅(2s) 
 other/watchexec , ✅(1s) 
 lang/kotlin , ✅(9s) 
 lang/java , ✅(1s) 
 lang/mawk , ✅(1s) 
 lang/perl , ✅(2s) 
 lang/zig , ✅(5s) 
 lang/scala , ✅(6s) 
 lang/d2 , ✅(2s) 
 lang/groovy , ✅(4s) 
 lang/julia , ✅(10s) 
 lang/tinygo , ✅(6s) 
 lang/go , ✅(4s) 
 lang/arturo , ✅(2s) 
 lang/raku , ✅(4s) 
 lang/python , ✅(9s) 
 lang/lua , ✅(2s) 
 version-manager/goreleaser , ✅(2s) 
 version-manager/semantic-release , ✅(9s) 
 data/marp-cli , ✅(7s) 
 data/shfmt , ✅(1s) 
 data/kopia , ✅(2s) 
 data/jqp , ✅(2s) 
 data/sq , ✅(2s) 
 data/mackup , ✅(12s) 
 data/monolith , ✅(1s) 
 data/hcl2json , ✅(2s) 
 data/fanyi , ✅(4s) 
 data/pypinyin , ❌(smoke) 
 data/typst , ✅(2s) 
 data/trdsql , ✅(2s) 
 data/stylelint , ✅(3s) 
 data/jiq , ✅(2s) 
 data/unoconv , ❌(smoke) 
 data/gojq , ✅(1s) 
 data/fq , ✅(2s) 
 data/jless , ❌(smoke) 
 data/sd , ✅(2s) 
 data/dyff , ✅(2s) 
 data/ouch , ✅(1s) 
 data/mdcat , ✅(2s) 
 data/minify , ✅(2s) 
 data/pygments , ✅(12s) 
 data/gomplate , ✅(2s) 
 data/brook , ✅(2s) 
 data/csvkit , ✅(8s) 
 data/protobuf , ✅(1s) 
 data/lakefs , ✅(5s) 
 data/csview , ✅(1s) 
 data/gojo , ✅(2s) 
 data/trafilatura , ✅(8s) 
 data/sqlean , ✅(1s) 
 data/difft , ✅(2s) 
 data/marked , ✅(4s) 
 data/unidecode , ✅(4s) 
 data/sphinx , ✅(7s) 
 data/upx , ✅(1s) 
 data/gron , ✅(2s) 
 data/restic , ✅(2s) 
 data/archiver , ✅(2s) 
 data/ytt , ✅(2s) 
 data/zstd , ✅(1s) 
 data/migrate , ✅(3s) 
 data/rg , ✅(1s) 
 data/yq , ✅(0s) 
 data/horcrux , ✅(2s) 
 data/fx , ✅(2s) 
 data/7za , ✅(0s) 
 data/jieba , ✅(13s) 
 data/readability-cli , ✅(5s) 
 data/jc , ✅(6s) 
 data/deepl , ✅(5s) 
 data/qrencode , ✅(1s) 
 data/scapy , ✅(6s) 
 data/7zz , ❌(env_try) 
 data/franc-cli , ✅(3s) 
 data/nanoid , ✅(1s) 
 data/diffoscope , ✅(7s) 
 data/pandoc , ✅(5s) 
 data/xsv , ✅(2s) 
 data/grex , ✅(1s) 
 data/ws4sqlite , ✅(1s) 
 data/pdfminer , ❌(smoke) 
 data/skim , ✅(2s) 
 data/eslint , ❌(smoke) 
 data/dvc , ✅(37s) 
 data/strip-json-comments-cli , ✅(1s) 
 data/decktape , ✅(11s) 
 data/docsify-cli , ✅(4s) 
 data/jq , ✅(0s) 
 data/dasel , ❌(env_try) 
 container/ctop , ✅(2s) 
 container/syft , ✅(2s) 
 container/bwrap , ✅(2s) 
 container/kube-score , ✅(1s) 
 container/k9s , ✅(3s) 
 container/kube-linter , ✅(2s) 
 container/minikube , ✅(3s) 
 container/copacetic , ✅(2s) 
 container/cosign , ✅(4s) 
 container/kubectx , ✅(2s) 
 container/kube-capacity , ✅(2s) 
 container/helm , ✅(3s) 
 container/slim , ✅(3s) 
 container/lazydocker , ✅(2s) 
 container/slick , ✅(2s) 
 container/dive , ✅(1s) 
 container/kind , ✅(2s) 
 container/k3d , ✅(2s) 
 ssh/xxh-xxh , ✅(11s) 
 ssh/ssh-audit , ✅(4s) 
 ssh/assh , ✅(2s) 
 security/skate , ✅(2s) 
 security/shodan , ✅(6s) 
 security/snyk , ✅(8s) 
 security/trivy , ✅(5s) 
 security/smartctl , ✅(2s) 
 security/dnstwist , ✅(4s) 
 security/age , ✅(2s) 
 security/sodium , ❌(smoke) 
 security/mc , ✅(2s) 
 security/chezmoi , ✅(3s) 
 security/pip-audit , ✅(7s) 
 security/osv-scanner , ✅(2s) 
 security/grype , ✅(3s) 
 security/certbot , ✅(7s) 
 security/tfsec , ✅(5s) 
 security/zoomeye , ✅(12s) 
 security/cmctl , ✅(2s) 
 security/lynis , ❌(env_try) 
 security/stegcloak , ✅(7s) 
 security/openssl , ✅(1s) 
 security/osquery , ✅(11s) 
 editor/helix , ❌(env_try) 
 editor/micro , ✅(2s) 
 editor/nvim , ✅(2s) 
 editor/bed , ✅(2s) 
 editor/sops , ✅(2s) 
 cloud/firebase-tools , ✅(13s) 
 cloud/s4cmd , ✅(7s) 
 cloud/influxdb , ✅(4s) 
 cloud/azure-cli , ✅(60s) 
 cloud/qshell , ✅(2s) 
 cloud/influx , ✅(3s) 
 cloud/drive , ✅(2s) 
 cloud/athenacli , ✅(9s) 
 cloud/koocli , ❌(env_try) 
 cloud/qingcloud-cli , ✅(6s) 
 cloud/jdcloud_cli , ✅(15s) 
 cloud/scw , ❌(smoke) 
 cloud/flarectl , ✅(1s) 
 cloud/aliyun , ✅(2s) 
 cloud/create-cloudflare , ✅(2s) 
 cloud/ibmcloud , ✅(3s) 
 cloud/tccli , ✅(22s) 
 cloud/hcloud , ✅(2s) 
 cloud/awscli , ✅(16s) 
 cloud/wrangler , ✅(7s) 
 cloud/gobackup , ✅(2s) 
 cloud/vultr-cli , ✅(2s) 
 cloud/fastly , ✅(2s) 
 cloud/gcloud , ✅(16s) 
 cloud/oci-cli , ✅(32s) 
 cloud/cloudlist , ✅(3s) 
 cloud/linode-cli , ✅(6s) 
 cloud/ucloud , ✅(2s) 
 cloud/doctl , ✅(3s) 
 cloud/s3cmd , ✅(4s) 
 plugin/sqlite-simple , ❌(smoke) 
 plugin/zsh-plugin , ✅(2s) 
 plugin/sqlite-vss , ❌(smoke) 
 plugin/sqlite-xsv , ❌(smoke) 
 reader/haxor-news , ✅(6s) 
 reader/glow , ✅(2s) 
 reader/epr , ✅(4s) 
 cicd/act , ✅(2s) 
 cicd/act_runner , ✅(2s) 
 sdkman/ant , ✅(6s) 
 sdkman/pomchecker , ✅(3s) 
 sdkman/btrace , ✅(2s) 
 sdkman/cxf , ❌(env_try) 
 sdkman/mulefd , ✅(2s) 
 sdkman/spark , ❌(env_try) 
 sdkman/concurnas , ✅(55s) 
 sdkman/kscript , ❌(env_try) 
 sdkman/mvnd , ✅(4s) 
 sdkman/ki , ✅(6s) 
 sdkman/ktx , ✅(4s) 
 sdkman/karaf , ❌(env_try) 
 sdkman/mybatis_migrations , ✅(2s) 
 sdkman/jbake , ✅(4s) 
 sdkman/coursier , ✅(3s) 
 sdkman/infrastructor , ✅(3s) 
 sdkman/schemacrawler , ✅(8s) 
 sdkman/toolkit , ✅(2s) 
