 ai/agent-browser , ✅(6s) 
 ai/aichat , ✅(6s) 
 ai/aider , ✅(117s) 
 ai/browser-use , ✅(268s) 
 ai/catai , ✅(129s) 
 ai/chatblade , ✅(72s) 
 ai/chatgpt , ✅(7s) 
 ai/claude-code , ✅(11s) 
 ai/claude-code-router , ✅(7s) 
 ai/codex , ✅(13s) 
 ai/copilot , ✅(18s) 
 ai/crush , ✅(14s) 
 ai/gemini-cli , ✅(60s) 
 ai/gpt-engineer , ✅(102s) 
 ai/gptscript , ✅(6s) 
 ai/gptui , ❌(smoke) 
 ai/how2 , ✅(55s) 
 ai/huggingface , ❌(smoke) 
 ai/llm , ✅(23s) 
 ai/mcp-cli , ✅(63s) 
 ai/open-interpreter , ✅(246s) 
 ai/opencode , ✅(17s) 
 ai/openspec , ✅(31s) 
 ai/whispercpp , ✅(5s) 
 build/cmake , ✅(18s) 
 build/just , ✅(6s) 
 c++/cppman , ✅(14s) 
 cloud-public/aliyun , ✅(9s) 
 cloud-public/athenacli , ✅(23s) 
 cloud-public/awscli , ✅(27s) 
 cloud-public/azure-cli , ✅(100s) 
 cloud-public/create-cloudflare , ✅(23s) 
 cloud-public/doctl , ✅(9s) 
 cloud-public/drive , - 
 cloud-public/fastly , ✅(7s) 
 cloud-public/firebase-tools , ✅(201s) 
 cloud-public/flarectl , ✅(6s) 
 cloud-public/gcloud , ❌(env_try) 
 cloud-public/hcloud , ✅(6s) 
 cloud-public/heroku , ✅(665s) 
 cloud-public/ibmcloud , ✅(8s) 
 cloud-public/influx , ✅(8s) 
 cloud-public/jdcloud_cli , ✅(115s) 
 cloud-public/koocli , ❌(env_try) 
 cloud-public/linode-cli , ✅(16s) 
 cloud-public/oci-cli , ❌(smoke) 
 cloud-public/qingcloud-cli , ❌(smoke) 
 cloud-public/qshell , ✅(7s) 
 cloud-public/scw , ❌(smoke) 
 cloud-public/tccli , ✅(51s) 
 cloud-public/ucloud , ❌(env_try) 
 cloud-public/vultr-cli , ✅(6s) 
 cloud-public/wrangler , ✅(23s) 
 cloud-tool/ansible , ❌(env_try) 
 cloud-tool/cloudlist , ✅(17s) 
 cloud-tool/opentofu , ✅(21s) 
 cloud-tool/pyinfra , ✅(27s) 
 cloud-tool/rclone , ✅(17s) 
 cloud-tool/s3cmd , ❌(smoke) 
 cloud-tool/s4cmd , ✅(29s) 
 cloud-tool/terraform , ✅(6s) 
 common/7za , ✅(1s) 
 common/7zz , ✅(5s) 
 common/busybox , ✅(5s) 
 common/chsrc , ✅(5s) 
 common/dnote , ✅(9s) 
 common/jrnl , ✅(81s) 
 common/ouch , ✅(6s) 
 common/reviewdog , ✅(8s) 
 common/zstd , ✅(5s) 
 container/bwrap , - 
 container/copacetic , - 
