 ai/aichat , ✅(9s) 
 ai/catai , ✅(65s) 
 ai/chatblade , ✅(97s) 
 ai/chatgpt , ✅(9s) 
 ai/gpt-engineer , ❌(smoke) 
 ai/gptscript , ✅(9s) 
 ai/gptui , ❌(smoke) 
 ai/how2 , ✅(57s) 
 ai/huggingface , ✅(28s) 
 ai/llm , ✅(28s) 
 ai/open-interpreter , ✅(149s) 
 ai/whispercpp , ✅(7s) 
 build/cmake , ✅(30s) 
 cloud/aliyun , ✅(13s) 
 cloud/ansible , ❌(smoke) 
 cloud/athenacli , ✅(48s) 
 cloud/awscli , ✅(81s) 
 cloud/azure-cli , ✅(133s) 
 cloud/cloudlist , ✅(23s) 
 cloud/create-cloudflare , ✅(6s) 
 cloud/doctl , ✅(12s) 
 cloud/drive , - 
 cloud/fastly , ✅(10s) 
 cloud/firebase-tools , ✅(80s) 
 cloud/flarectl , ✅(8s) 
 cloud/gcloud , ✅(263s) 
 cloud/hcloud , ✅(9s) 
 cloud/heroku , ✅(218s) 
 cloud/ibmcloud , ✅(11s) 
 cloud/influx , ✅(11s) 
 cloud/influxdb , ✅(27s) 
 cloud/jdcloud_cli , ✅(65s) 
 cloud/koocli , ❌(env_try) 
 cloud/linode-cli , ✅(54s) 
 cloud/ngxtop , ❌(smoke) 
 cloud/oci-cli , ❌(smoke) 
 cloud/opentofu , ✅(20s) 
 cloud/pyinfra , ✅(19s) 
 cloud/qingcloud-cli , ❌(smoke) 
 cloud/qshell , ✅(10s) 
 cloud/rclone , ✅(18s) 
 cloud/s3cmd , ❌(smoke) 
 cloud/s4cmd , ✅(17s) 
 cloud/scw , ❌(smoke) 
 cloud/tccli , ✅(50s) 
 cloud/terraform , ✅(6s) 
 cloud/ucloud , ✅(9s) 
 cloud/vultr-cli , ✅(8s) 
 cloud/wrangler , ✅(35s) 
 common/concurrently , ✅(29s) 
 common/cppman , ❌(env_try) 
 common/dnote , ✅(11s) 
 common/just , ✅(6s) 
 common/reviewdog , ✅(11s) 
 container/busybox , ✅(6s) 
 container/bwrap , - 
 container/copacetic , - 
 container/cosign , ✅(39s) 
 container/dive , ✅(8s) 
 container/dry , ✅(8s) 
 container/hadolint , ✅(7s) 
 container/helm , ✅(16s) 
 container/k3d , ✅(10s) 
 container/k9s , ✅(24s) 
 container/kind , ✅(7s) 
 container/kube-capacity , ✅(13s) 
 container/kube-linter , ✅(14s) 
 container/kube-score , ✅(11s) 
 container/kubectx , ✅(6s) 
 container/lazydocker , ✅(10s) 
 container/lima , - 
 container/minikube , ✅(22s) 
 container/slick , ✅(7s) 
 container/slim , - 
 container/syft , ✅(16s) 
 data/7zz , ✅(5s) 
 data/archiver , ✅(8s) 
 data/csview , ✅(6s) 
 data/csvkit , ✅(59s) 
 data/csvlens , ✅(4s) 
 data/dasel , ✅(7s) 
 data/decktape , ✅(375s) 
 data/deepl , ✅(13s) 
 data/dyff , ✅(7s) 
 data/eslint , ❌(smoke) 
 data/etcd , ✅(17s) 
 data/fanyi , ✅(18s) 
 data/fq , ✅(8s) 
 data/franc-cli , ✅(9s) 
 data/fx , ✅(7s) 
 data/fzf , ✅(7s) 
